,Unnamed: 0,timestamp,left,rigth,depth,height,id,true_height,left_input,right_input,left_rectified,right_rectified,error
283,40,2023-07-25 17:00:16.993419,[0.3272633  0.48631161];[0.43617299 0.48834878];[0.37273251 0.60317615];[0.37153497 0.55774516],[0.49429944 0.45483646];[0.60473967 0.45428663];[0.54673097 0.57017893];[0.54689348 0.52611101],128.05716051185422,171.03784118289246,2,171.0,input/2023-07-25__17:00:16.993419.2.input.png,input/2023-07-25__17:00:16.993419.0.input.png,rectified/2023-07-25__17:00:16.993419.left.rectified.png,rectified/2023-07-25__17:00:16.993419.right.rectified.png,0.037841182892464076
246,3,2023-07-25 16:59:33.856207,[0.32722515 0.48688856];[0.44182831 0.48638025];[0.37692565 0.60804775];[0.37518832 0.55946362],[0.50444555 0.45454094];[0.62088728 0.45203152];[0.56229258 0.57612905];[0.56168163 0.52842933],120.407903381333,170.90928960801685,2,171.0,input/2023-07-25__16:59:33.856207.2.input.png,input/2023-07-25__16:59:33.856207.0.input.png,rectified/2023-07-25__16:59:33.856207.left.rectified.png,rectified/2023-07-25__16:59:33.856207.right.rectified.png,0.09071039198315134
282,39,2023-07-25 17:00:15.817123,[0.32748106 0.48553947];[0.43663117 0.48662481];[0.37296228 0.60009027];[0.37166926 0.55577123],[0.49292845 0.45322934];[0.60394025 0.45189011];[0.54534435 0.56766191];[0.54562384 0.52459806],129.21885561773323,171.16724672966095,2,171.0,input/2023-07-25__17:00:15.817123.2.input.png,input/2023-07-25__17:00:15.817123.0.input.png,rectified/2023-07-25__17:00:15.817123.left.rectified.png,rectified/2023-07-25__17:00:15.817123.right.rectified.png,0.16724672966094545
266,23,2023-07-25 16:59:55.260392,[0.70558065 0.49907666];[0.78288108 0.50331265];[0.73988011 0.5849705 ];[0.73936462 0.55466896],[0.81782222 0.4656468 ];[0.8978532  0.46948504];[0.85634714 0.55177465];[0.85784853 0.52166724],189.0865430527668,170.83003149277687,2,171.0,input/2023-07-25__16:59:55.260392.2.input.png,input/2023-07-25__16:59:55.260392.0.input.png,rectified/2023-07-25__16:59:55.260392.left.rectified.png,rectified/2023-07-25__16:59:55.260392.right.rectified.png,0.16996850722313184
280,37,2023-07-25 17:00:13.450147,[0.1962823  0.48817945];[0.31151316 0.47803259];[0.25019097 0.59498042];[0.24492344 0.54962999],[0.37483737 0.45635837];[0.48699689 0.44513825];[0.43380481 0.56386095];[0.43125445 0.51730424],121.01840442630764,171.19369934528288,2,171.0,input/2023-07-25__17:00:13.450147.2.input.png,input/2023-07-25__17:00:13.450147.0.input.png,rectified/2023-07-25__17:00:13.450147.left.rectified.png,rectified/2023-07-25__17:00:13.450147.right.rectified.png,0.19369934528288013
259,16,2023-07-25 16:59:46.979660,[0.31251669 0.48313272];[0.43242764 0.47766501];[0.36628456 0.60620156];[0.36298719 0.55585754],[0.49858347 0.4505083 ];[0.61976552 0.44200027];[0.56115159 0.57291862];[0.55916399 0.52532458],114.83722482064046,171.22690500921416,2,171.0,input/2023-07-25__16:59:46.979660.2.input.png,input/2023-07-25__16:59:46.979660.0.input.png,rectified/2023-07-25__16:59:46.979660.left.rectified.png,rectified/2023-07-25__16:59:46.979660.right.rectified.png,0.226905009214164
262,19,2023-07-25 16:59:50.504646,[0.23142743 0.49586493];[0.31651726 0.496378  ];[0.26714812 0.58355826];[0.26424009 0.54979628],[0.35074925 0.46509048];[0.43467712 0.46420997];[0.38822831 0.55199507];[0.38818923 0.51912826],180.8595307886664,171.286340489452,2,171.0,input/2023-07-25__16:59:50.504646.2.input.png,input/2023-07-25__16:59:50.504646.0.input.png,rectified/2023-07-25__16:59:50.504646.left.rectified.png,rectified/2023-07-25__16:59:50.504646.right.rectified.png,0.2863404894519874
277,34,2023-07-25 17:00:09.770281,[0.4541997  0.50781989];[0.51106948 0.51308656];[0.47593968 0.56886438];[0.47646219 0.54586476],[0.5271908  0.47578084];[0.58451313 0.48051673];[0.55100372 0.53724271];[0.55093503 0.51516998],296.1477135162945,170.7008337527009,2,171.0,input/2023-07-25__17:00:09.770281.2.input.png,input/2023-07-25__17:00:09.770281.0.input.png,rectified/2023-07-25__17:00:09.770281.left.rectified.png,rectified/2023-07-25__17:00:09.770281.right.rectified.png,0.29916624729909813
245,2,2023-07-25 16:59:32.860012,[0.32573184 0.48256335];[0.44315541 0.47965926];[0.37964964 0.60222307];[0.37562618 0.54940057],[0.50378942 0.4497    ];[0.62044579 0.44656608];[0.56396756 0.56997889];[0.5628891  0.52154148],120.47386487660226,171.3310899935224,2,171.0,input/2023-07-25__16:59:32.860012.2.input.png,input/2023-07-25__16:59:32.860012.0.input.png,rectified/2023-07-25__16:59:32.860012.left.rectified.png,rectified/2023-07-25__16:59:32.860012.right.rectified.png,0.3310899935223972
260,17,2023-07-25 16:59:48.086569,[0.42341122 0.48858079];[0.53466803 0.4927294 ];[0.46592969 0.61104366];[0.4655965 0.5630306],[0.59749711 0.45524377];[0.71153694 0.45667481];[0.64692023 0.57633752];[0.64571011 0.52833629],123.41683150446292,170.6686177315974,2,171.0,input/2023-07-25__16:59:48.086569.2.input.png,input/2023-07-25__16:59:48.086569.0.input.png,rectified/2023-07-25__16:59:48.086569.left.rectified.png,rectified/2023-07-25__16:59:48.086569.right.rectified.png,0.3313822684025922
